transaction_id,customer_id,product_id,transaction_date,transaction_amount,quantity,payment_method,status,region,sales_rep_id
TXN_00001,CUST_1325,PROD_0492,08-Mar-2023,$375.92,1,Crypto,Completed,South,REP_172
TXN_00002,CUST_0949,PROD_0229,2023-10-22,1431.6,2,Crypto,Completed,North,REP_091
TXN_00003,CUST_0017,PROD_0575,2025-12-28,2609.43,5,Crypto,Completed,,REP_163
TXN_00004,CUST_0815,PROD_0537,2023-10-04,915.18,1,PayPal,Completed,South,REP_029
TXN_00005,CUST_1598,PROD_0268,15-Aug-2024,2294.7,3,Credit Card,Completed,East,REP_006
TXN_00006,BAD_CUST_147,PROD_0405,25-Dec-2024,$233.39,2,Crypto,Completed,EAST,REP_165
TXN_00007,CUST_1067,PROD_0793,2025.11.07,240.94,1,Bank Transfer,Pending,North,REP_123
TXN_00008,CUST_1092,PROD_0011,2024.07.26,462.42,1,Bank Transfer,Cancelled,SOUTH,REP_085
TXN_00009,CUST_1404,PROD_0320,06/01/2024,"$1,942.17",3,Bank Transfer,Completed,south,REP_186
TXN_00010,CUST_0212,PROD_0713,07/27/2025,"$5,088.09",5,Bank Transfer,Pending,South,REP_192
TXN_00011,CUST_0203,PROD_0126,06/05/2023,326.50,2,Bank Transfer,Pending,EAST,REP_159
TXN_00012,CUST_0726,PROD_0306,06-Jul-2025,73.56,1,PayPal,Completed,West,REP_123
TXN_00013,CUST_0109,PROD_0702,04/11/2023,$436.25,1,Credit Card,Completed,south,REP_104
TXN_00014,CUST_0968,PROD_0511,2024.10.23,366.67,1,PayPal,Completed,North,REP_178
TXN_00015,CUST_0284,PROD_0089,2023-11-20,592.81,2,Bank Transfer,Completed,East,REP_188
TXN_00016,CUST_0941,PROD_0355,2023-04-21,94.64,3,Bank Transfer,Completed,West,REP_014
TXN_00017,CUST_1961,PROD_0628,13-Jan-2024,937.26,1,Crypto,Completed,South,REP_070
TXN_00018,CUST_1630,PROD_0352,2024-07-01,840.22,4,Crypto,Completed,West,REP_139
TXN_00019,CUST_1249,PROD_0689,08/14/2025,547.62,2,Credit Card,Completed,East,REP_155
TXN_00020,CUST_0737,PROD_0014,2024.11.08,,2,Credit Card,Completed,west,REP_102
TXN_00021,CUST_1775,PROD_0257,2024-11-06,"7,448.56",10,Credit Card,Completed,East,REP_069
TXN_00022,CUST_1142,PROD_0209,2025.12.17,153.47,1,PayPal,Pending,,REP_079
TXN_00023,CUST_0932,PROD_0281,2023.01.13,"6,601.09",10,Crypto,Completed,West,REP_038
TXN_00024,BAD_CUST_212,PROD_0443,2023-10-23,$809.38,1,Credit Card,Completed,East,REP_062
TXN_00025,CUST_1364,PROD_0389,02-Sep-2023,175.28,1,Crypto,Completed,West,REP_181
TXN_00026,CUST_1825,PROD_0617,11/15/2025,3269.13,5,Crypto,Completed,North,REP_080
TXN_00027,CUST_1305,PROD_0483,2023.11.09,5515.23,10,Crypto,Completed,South,REP_146
TXN_00028,CUST_0491,PROD_0147,2023-04-14,336.77,2,Crypto,Pending,West,REP_117
TXN_00029,CUST_0019,PROD_0279,2025.10.08,880.11,2,Crypto,Completed,West,REP_126
TXN_00030,CUST_1199,PROD_0521,2025-01-19,46.66,3,Crypto,Pnding,West,REP_180
TXN_00031,CUST_1493,PROD_0630,2025.03.10,4183.85,4,PayPal,Completed,South,REP_024
TXN_00032,CUST_1642,PROD_0606,03/08/2024,85.22,1,Bank Transfer,Completed,East,REP_099
TXN_00033,CUST_0801,PROD_0434,2023-12-23,$500.75,4,Crypto,Completed,,REP_135
TXN_00034,CUST_0760,PROD_0144,11/27/2023,468.65,1,PayPal,Completed,West,REP_014
TXN_00035,CUST_1859,PROD_0289,2025-02-25,844.97,1,Credit Card,Completed,East,REP_178
TXN_00036,CUST_1166,PROD_0386,03/05/2024,71.25,1,PayPal,Completed,West,REP_094
TXN_00037,CUST_1487,PROD_0014,04/26/2023,$748.45,2,PayPal,Refunded,,REP_024
TXN_00038,CUST_0929,PROD_0257,2023-11-17,"$7,448.56",10,PayPal,Pending,west,REP_013
TXN_00039,CUST_0298,PROD_0346,2025-09-02,539.69,2,Crypto,Cancelled,west,REP_147
TXN_00040,CUST_1494,BAD_PROD_27,10/16/2023,"2,725.86",10,Credit Card,Completed,East,REP_029
TXN_00041,CUST_0705,PROD_0345,2023-10-28,143.69,1,PayPal,Completed,,REP_022
TXN_00042,CUST_1887,PROD_0400,2024.05.15,"$1,897.34",3,Credit Card,Completed,south,REP_002
TXN_00043,CUST_0815,PROD_0207,2023.12.04,1184.66,4,PayPal,Completed,,REP_103
TXN_00044,CUST_0803,PROD_0172,2023.01.03,131.39,2,Crypto,Completed,,REP_036
TXN_00045,CUST_0373,PROD_0464,2023.01.10,1129.98,2,PayPal,Completed,North,REP_038
TXN_00046,CUST_1492,PROD_0270,07/18/2024,"$1,306.66",2,PayPal,Completed,North,REP_018
TXN_00047,CUST_0928,PROD_0221,2024.09.15,2720.09,5,Credit Card,Cancelled,East,REP_051
TXN_00048,CUST_0951,PROD_0152,06/26/2025,"$1,427.80",4,Credit Card,Cancelled,North,REP_143
TXN_00049,CUST_1462,PROD_0623,1800-01-01,338.57,1,Credit Card,Completed,North,REP_128
TXN_00050,CUST_0844,PROD_0183,10/17/2024,"2,071.46",4,Bank Transfer,Pending,West,REP_180
TXN_00051,CUST_0947,PROD_0399,2023.01.07,,1,Credit Card,Completed,West,REP_017
TXN_00052,CUST_1744,PROD_0072,11/04/2024,267.08,1,PayPal,Completed,North,REP_112
TXN_00053,CUST_0443,PROD_0418,13-Jul-2024,3637.92,5,Bank Transfer,Pending,West,REP_077
TXN_00054,CUST_1480,PROD_0283,16-Nov-2023,506.46,1,Credit Card,Completed,North,REP_022
TXN_00055,CUST_1272,PROD_0074,10/14/2023,"$2,763.31",4,Crypto,Pnding,west,REP_123
TXN_00056,CUST_0142,PROD_0355,2023.08.28,$31.55,1,Credit Card,Completed,,REP_182
TXN_00057,BAD_CUST_250,PROD_0727,21-Mar-2025,71.96,1,Crypto,Pending,north,REP_180
TXN_00058,CUST_1920,PROD_0497,2024.04.05,723.32,1,Bank Transfer,Refunded,South,REP_128
TXN_00059,CUST_0823,PROD_0328,2023.11.09,715.38,1,Crypto,Completed,,REP_090
TXN_00060,CUST_0222,PROD_0535,2099-12-31,"2,202.66",3,Bank Transfer,Completed,South,REP_174
TXN_00061,CUST_0737,PROD_0580,2024.03.14,$190.98,1,Crypto,Completed,East,REP_132
TXN_00062,CUST_1890,PROD_0447,2023-03-21,1119.7,1,Credit Card,Completed,North,REP_007
TXN_00063,CUST_1208,BAD_PROD_79,2024-06-02,375.23,1,Bank Transfer,Completed,NORTH,REP_138
TXN_00064,CUST_1388,PROD_0362,28-Dec-2024,$529.43,1,PayPal,Pending,South,REP_015
TXN_00065,CUST_1841,PROD_0093,2025.05.12,$116.29,3,PayPal,Complted,North,REP_154
TXN_00066,CUST_0994,PROD_0321,02-Aug-2025,493.1,1,PayPal,Refunded,,REP_040
TXN_00067,CUST_1212,PROD_0324,2024.02.12,$535.32,2,Credit Card,Completed,South,REP_189
TXN_00068,CUST_0113,PROD_0384,06-Dec-2024,1410.56,10,PayPal,Completed,,REP_102
TXN_00069,CUST_1205,PROD_0575,10/24/2023,"$1,043.77",2,Bank Transfer,Completed,West,REP_144
TXN_00070,CUST_1223,PROD_0736,2024.01.01,762.61,4,PayPal,Completed,North,REP_098
TXN_00071,CUST_1926,PROD_0737,2025.09.12,764.86,1,Bank Transfer,Completed,east,REP_120
TXN_00072,CUST_1094,PROD_0346,2099-12-31,269.85,1,PayPal,Completed,East,REP_018
TXN_00073,CUST_0598,PROD_0103,2024-06-10,"3,053.88",5,Crypto,Completed,East,REP_002
TXN_00074,CUST_0904,PROD_0215,04-Dec-2025,97.05,3,Bank Transfer,Completed,South,REP_182
TXN_00075,CUST_0485,PROD_0192,25-Jul-2024,118.93,2,PayPal,Completed,South,REP_120
TXN_00076,CUST_1423,BAD_PROD_13,2025.09.24,1186.03,2,PayPal,Pending,West,REP_146
TXN_00077,CUST_1946,PROD_0719,2025.02.05,$423.36,1,PayPal,Pending,North,REP_054
TXN_00078,CUST_0551,PROD_0781,06/22/2024,753.47,1,Bank Transfer,Completed,west,REP_166
TXN_00079,CUST_1667,PROD_0194,05/05/2025,3111.61,3,Bank Transfer,Completed,South,REP_097
TXN_00080,CUST_1977,PROD_0380,2023-10-20,1289.22,2,PayPal,Completed,,REP_073
TXN_00081,CUST_1034,PROD_0403,2024.10.02,$416.36,1,Crypto,Refunded,north,REP_143
TXN_00082,BAD_CUST_180,PROD_0664,1800-01-01,999999.99,5,Bank Transfer,Completed,East,REP_192
TXN_00083,CUST_1502,PROD_0749,2023-07-26,$255.73,1,Bank Transfer,Completed,North,REP_092
TXN_00084,CUST_1838,PROD_0600,18-Jul-2023,$733.49,1,Crypto,Completed,East,REP_008
TXN_00085,CUST_0662,PROD_0011,03-Jan-2023,"2,312.10",5,Credit Card,Completed,North,REP_174
TXN_00086,CUST_0067,PROD_0187,2023.11.24,1530.27,3,Crypto,Completed,East,REP_100
TXN_00087,CUST_0705,PROD_0726,2023.04.15,$110.92,2,PayPal,Completed,West,REP_039
TXN_00088,CUST_1121,PROD_0015,08/04/2023,340.97,1,Bank Transfer,Completed,South,REP_180
TXN_00089,CUST_1555,PROD_0778,2024-11-20,362.51,1,Bank Transfer,Complted,West,REP_136
TXN_00090,CUST_1342,PROD_0297,09-Aug-2024,"1,416.45",2,Bank Transfer,Completed,East,REP_106
TXN_00091,CUST_0098,PROD_0411,2025.06.21,,1,Bank Transfer,Completed,North,REP_178
TXN_00092,CUST_1081,PROD_0585,2025-03-22,781.25,4,Credit Card,Pending,West,REP_050
TXN_00093,CUST_1887,PROD_0052,2025-09-22,"$5,819.60",10,Bank Transfer,Completed,East,REP_083
TXN_00094,CUST_1131,PROD_0640,10/08/2025,3023.22,4,Bank Transfer,Refunded,South,REP_196
TXN_00095,CUST_0088,PROD_0028,09-Aug-2024,70.26,1,Credit Card,Completed,north,REP_027
TXN_00096,CUST_0972,PROD_0577,11/16/2025,2327.08,3,PayPal,Completed,West,REP_077
TXN_00097,CUST_0653,PROD_0017,2024-01-19,446.06,1,PayPal,Completed,South,REP_038
TXN_00098,CUST_0656,PROD_0351,10/27/2024,549.84,1,Credit Card,Completed,east,REP_021
TXN_00099,CUST_0912,PROD_0428,10/08/2023,$397.68,1,PayPal,Completed,North,REP_045
TXN_00100,CUST_0371,PROD_0650,2023.02.23,249.3,1,PayPal,Completed,East,REP_186
TXN_00101,CUST_0375,PROD_0229,2024.07.24,"7,158.00",10,Crypto,Pending,North,REP_151
TXN_00102,CUST_0052,PROD_0766,11/10/2025,802.69,1,Crypto,Completed,South,REP_182
TXN_00103,CUST_1748,PROD_0210,16-Dec-2023,144.46,1,Crypto,Completed,South,REP_030
TXN_00104,CUST_0041,PROD_0431,25-Feb-2025,4643.96,10,Credit Card,Pending,South,REP_095
TXN_00105,CUST_0816,PROD_0294,2023.11.13,313.50,1,Bank Transfer,Completed,West,REP_144
TXN_00106,CUST_0091,PROD_0743,2023-07-16,442.02,3,Credit Card,Completed,West,REP_052
TXN_00107,CUST_0039,PROD_0753,2024-06-04,$964.12,1,Credit Card,Completed,West,REP_106
TXN_00108,CUST_1037,PROD_0582,13-Nov-2024,845.68,1,Credit Card,Completed,East,REP_041
TXN_00109,CUST_0900,PROD_0104,2024-07-28,"1,166.25",10,Credit Card,Completed,West,REP_199
TXN_00110,CUST_1632,PROD_0204,26-Dec-2023,"1,058.47",1,Crypto,Completed,North,REP_081
TXN_00111,CUST_0621,PROD_0053,2023-12-11,"2,299.76",2,Credit Card,Completed,South,REP_024
TXN_00112,CUST_0104,PROD_0375,2023-02-03,,1,Crypto,Completed,East,REP_148
TXN_00113,BAD_CUST_214,PROD_0054,05-Oct-2025,$781.88,1,Bank Transfer,Completed,East,REP_103
TXN_00114,CUST_0743,PROD_0276,2024.02.26,$947.23,1,PayPal,Completed,West,REP_155
TXN_00115,CUST_0043,PROD_0335,2025-03-02,288.34,1,Crypto,Completed,North,REP_002
TXN_00116,CUST_0209,PROD_0031,05-Oct-2023,$205.35,1,Credit Card,Completed,SOUTH,REP_060
TXN_00117,CUST_0600,PROD_0135,2024.12.22,,3,Bank Transfer,Pending,East,REP_051
TXN_00118,CUST_0605,PROD_0058,2025-06-22,809.95,10000,Credit Card,Completed,South,REP_129
TXN_00119,CUST_1710,PROD_0105,2023-03-10,887.26,1,Bank Transfer,Completed,,REP_091
TXN_00120,CUST_0476,PROD_0266,2023-12-03,65.93,1,PayPal,Completed,south,REP_101
TXN_00121,CUST_1662,PROD_0522,2025-01-27,4356.75,10,Bank Transfer,Pending,West,REP_114
TXN_00122,CUST_0109,PROD_0496,2023-07-27,"6,498.65",10,Bank Transfer,Completed,South,REP_006
TXN_00123,CUST_1583,PROD_0253,2023-05-19,"$1,927.42",3,PayPal,Completed,East,REP_166
TXN_00124,CUST_0214,PROD_0295,2025.10.27,1633.64,5,PayPal,Completed,west,REP_054
TXN_00125,CUST_1628,PROD_0668,02/15/2023,292.87,1,Bank Transfer,Refunded,West,REP_188
TXN_00126,CUST_1717,PROD_0158,21-Mar-2024,"1,129.59",1,Credit Card,Completed,West,REP_027
TXN_00127,CUST_0409,PROD_0549,16-Feb-2025,331.8,2,Crypto,Completed,West,REP_080
TXN_00128,CUST_1577,PROD_0631,2025.05.02,1887.46,2,Credit Card,Completed,,REP_190
